Date,Open,High,Low,Close,Adj Close,Volume
2024-01-12,10025.0,10044.9501953125,9935.9501953125,9965.650390625,9872.40234375,850190
2024-01-15,9985.099609375,10098.7998046875,9948.0,10086.900390625,9992.517578125,463380
2024-01-16,10086.849609375,10240.0,10060.0,10183.5498046875,10088.2626953125,536823
2024-01-17,10124.0,10161.7998046875,9996.4501953125,10051.7001953125,9957.646484375,610250
2024-01-18,9946.0498046875,10050.0,9737.650390625,9924.5,9831.63671875,614860
2024-01-19,9960.0,10051.650390625,9949.0498046875,10037.7001953125,9943.77734375,377018
2024-01-23,9862.0,9973.0,9832.099609375,9860.4501953125,9768.1865234375,956269
2024-01-24,9860.0,10000.0,9755.0,9988.2001953125,9894.7412109375,459092
2024-01-25,9988.2001953125,9999.7998046875,9816.5498046875,9881.0,9788.5439453125,718817
2024-01-29,9931.150390625,10035.0,9875.0498046875,9991.400390625,9897.9111328125,446516
2024-01-30,10010.849609375,10033.5,9931.5,9951.650390625,9858.533203125,399869
2024-01-31,9959.2998046875,10235.599609375,9913.0,10186.900390625,10091.58203125,997024
2024-02-01,10210.0,10699.7998046875,10204.0,10637.9501953125,10538.4111328125,1869594
2024-02-02,10598.0,10711.599609375,10540.400390625,10655.4501953125,10555.7470703125,814940
2024-02-05,10602.0,10759.9501953125,10400.0,10428.5498046875,10330.9697265625,365105
2024-02-06,10499.9501953125,10856.75,10458.0,10844.849609375,10743.375,829040
2024-02-07,10860.0,10973.5,10786.7998046875,10935.7001953125,10833.375,560808
2024-02-08,10951.0,10951.0,10689.9501953125,10743.900390625,10643.3701171875,557082
2024-02-09,10711.25,10770.0,10611.099609375,10732.849609375,10632.4228515625,645489
2024-02-12,10700.0,10748.9501953125,10650.0498046875,10709.7001953125,10609.490234375,190655
2024-02-13,10730.0,10830.0,10640.150390625,10794.5,10693.49609375,397979
2024-02-14,10705.0,11050.0,10703.400390625,11027.9501953125,10924.76171875,354676
2024-02-15,11040.0,11133.0,10980.0,11090.25,10986.478515625,447248
2024-02-16,11120.0,11480.0,11098.0,11380.400390625,11273.9140625,716486
2024-02-19,11380.400390625,11613.0498046875,11333.0498046875,11483.349609375,11375.900390625,581383
2024-02-20,11440.0,11479.9501953125,11315.849609375,11446.4501953125,11339.345703125,355044
2024-02-21,11456.0,11521.0,11370.0,11465.849609375,11358.5634765625,348461
2024-02-22,11500.0,11695.0,11391.25,11657.7998046875,11548.7177734375,584406
2024-02-23,11704.9501953125,11720.0,11475.2001953125,11535.599609375,11427.6611328125,472884
2024-02-26,11505.0,11533.9501953125,11416.4501953125,11467.0,11359.703125,277700
2024-02-27,11415.0,11562.900390625,11384.25,11500.650390625,11393.0390625,307585
2024-02-28,11471.0,11498.9501953125,11130.0,11152.7998046875,11048.443359375,358812
2024-02-29,11155.0,11349.0,11129.5,11288.349609375,11182.724609375,943841
2024-03-01,11295.0,11675.0,11295.0,11620.9501953125,11512.212890625,487355
2024-03-04,11600.0,11677.2998046875,11544.150390625,11594.150390625,11485.6640625,369936
2024-03-05,11596.0498046875,11730.0,11561.7998046875,11670.599609375,11561.3984375,320702
2024-03-06,11670.599609375,11679.0,11518.400390625,11567.0498046875,11458.8173828125,639542
2024-03-07,11571.0498046875,11633.5,11421.150390625,11510.0498046875,11402.3505859375,255325
2024-03-11,11515.150390625,11555.900390625,11350.0498046875,11395.5498046875,11288.921875,525344
2024-03-12,11400.0,11575.900390625,11381.0,11509.900390625,11402.2021484375,283816
2024-03-13,11510.0,11554.849609375,11267.599609375,11390.150390625,11283.5732421875,385204
2024-03-14,11401.75,11460.0,11302.0498046875,11404.599609375,11297.88671875,523058
2024-03-15,11380.0,11521.0498046875,11314.0498046875,11476.650390625,11369.263671875,972333
2024-03-18,11436.650390625,11665.400390625,11366.2998046875,11636.2998046875,11527.4189453125,311049
